Connecting to host 192.168.70.135, port 5201
Reverse mode, remote host 192.168.70.135 is sending
[  5] local 10.0.0.2 port 40904 connected to 192.168.70.135 port 5201
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  5]   0.00-1.00   sec   258 KBytes  2.11 Mbits/sec  1.618 ms  0/220 (0%)  
[  5]   1.00-2.00   sec   212 KBytes  1.74 Mbits/sec  2.673 ms  0/181 (0%)  
[  5]   2.00-3.00   sec   281 KBytes  2.31 Mbits/sec  2.220 ms  0/240 (0%)  
[  5]   3.00-4.00   sec   227 KBytes  1.86 Mbits/sec  2.055 ms  0/194 (0%)  
[  5]   4.00-5.00   sec   250 KBytes  2.04 Mbits/sec  2.123 ms  0/213 (0%)  
[  5]   5.00-6.00   sec   245 KBytes  2.01 Mbits/sec  2.106 ms  0/209 (0%)  
[  5]   6.00-7.00   sec   247 KBytes  2.03 Mbits/sec  2.041 ms  0/211 (0%)  
[  5]   7.00-8.00   sec   240 KBytes  1.97 Mbits/sec  2.085 ms  0/205 (0%)  
[  5]   8.00-9.00   sec   248 KBytes  2.03 Mbits/sec  1.477 ms  0/212 (0%)  
[  5]   9.00-10.00  sec   241 KBytes  1.98 Mbits/sec  1.636 ms  0/206 (0%)  
[  5]  10.00-11.00  sec   250 KBytes  2.04 Mbits/sec  1.938 ms  0/213 (0%)  
[  5]  11.00-12.00  sec   241 KBytes  1.98 Mbits/sec  2.036 ms  0/206 (0%)  
[  5]  12.00-13.00  sec   246 KBytes  2.01 Mbits/sec  1.898 ms  0/210 (0%)  
[  5]  13.00-14.00  sec   241 KBytes  1.98 Mbits/sec  1.704 ms  0/206 (0%)  
[  5]  14.00-15.00  sec   248 KBytes  2.04 Mbits/sec  2.339 ms  0/212 (0%)  
[  5]  15.00-16.00  sec   240 KBytes  1.97 Mbits/sec  2.294 ms  0/205 (0%)  
[  5]  16.00-17.00  sec   247 KBytes  2.02 Mbits/sec  1.705 ms  0/211 (0%)  
[  5]  17.00-18.00  sec   244 KBytes  2.00 Mbits/sec  1.975 ms  0/208 (0%)  
[  5]  18.00-19.00  sec   244 KBytes  2.00 Mbits/sec  1.862 ms  0/208 (0%)  
[  5]  19.00-20.00  sec   243 KBytes  1.99 Mbits/sec  1.504 ms  0/207 (0%)  
[  5]  20.00-21.00  sec   243 KBytes  1.99 Mbits/sec  1.810 ms  0/207 (0%)  
[  5]  21.00-22.00  sec   244 KBytes  2.00 Mbits/sec  1.767 ms  0/208 (0%)  
[  5]  22.00-23.00  sec   233 KBytes  1.91 Mbits/sec  2.151 ms  0/199 (0%)  
[  5]  23.00-24.00  sec   246 KBytes  2.01 Mbits/sec  2.315 ms  0/210 (0%)  
[  5]  24.00-25.00  sec   252 KBytes  2.06 Mbits/sec  1.826 ms  0/215 (0%)  
[  5]  25.00-26.00  sec   240 KBytes  1.97 Mbits/sec  1.775 ms  0/205 (0%)  
[  5]  26.00-27.00  sec   254 KBytes  2.08 Mbits/sec  2.220 ms  0/217 (0%)  
[  5]  27.00-28.00  sec   246 KBytes  2.01 Mbits/sec  1.954 ms  0/210 (0%)  
[  5]  28.00-29.00  sec   239 KBytes  1.96 Mbits/sec  2.033 ms  0/204 (0%)  
[  5]  29.00-30.00  sec   243 KBytes  1.99 Mbits/sec  1.876 ms  0/207 (0%)  
[  5]  30.00-31.00  sec   246 KBytes  2.02 Mbits/sec  1.939 ms  0/210 (0%)  
[  5]  31.00-32.00  sec   245 KBytes  2.01 Mbits/sec  1.815 ms  0/209 (0%)  
[  5]  32.00-33.00  sec   246 KBytes  2.02 Mbits/sec  1.468 ms  0/210 (0%)  
[  5]  33.00-34.00  sec   243 KBytes  1.99 Mbits/sec  1.515 ms  0/207 (0%)  
[  5]  34.00-35.00  sec   218 KBytes  1.78 Mbits/sec  2.490 ms  0/186 (0%)  
[  5]  35.00-36.00  sec   268 KBytes  2.20 Mbits/sec  2.088 ms  0/229 (0%)  
[  5]  36.00-37.00  sec   246 KBytes  2.01 Mbits/sec  1.685 ms  0/210 (0%)  
[  5]  37.00-38.00  sec   240 KBytes  1.97 Mbits/sec  1.894 ms  0/205 (0%)  
[  5]  38.00-39.00  sec   245 KBytes  2.01 Mbits/sec  2.652 ms  0/209 (0%)  
[  5]  39.00-40.00  sec   241 KBytes  1.98 Mbits/sec  2.069 ms  0/206 (0%)  
[  5]  40.00-41.00  sec   255 KBytes  2.10 Mbits/sec  2.023 ms  0/218 (0%)  
[  5]  41.00-42.00  sec   240 KBytes  1.96 Mbits/sec  1.701 ms  0/205 (0%)  
[  5]  42.00-43.00  sec   240 KBytes  1.97 Mbits/sec  2.126 ms  0/205 (0%)  
[  5]  43.00-44.00  sec   243 KBytes  1.99 Mbits/sec  2.185 ms  0/207 (0%)  
[  5]  44.00-45.00  sec   254 KBytes  2.08 Mbits/sec  1.838 ms  0/217 (0%)  
[  5]  45.00-46.00  sec   244 KBytes  2.00 Mbits/sec  1.359 ms  0/208 (0%)  
[  5]  46.00-47.00  sec   227 KBytes  1.86 Mbits/sec  1.804 ms  0/194 (0%)  
[  5]  47.00-48.00  sec   251 KBytes  2.05 Mbits/sec  2.455 ms  0/214 (0%)  
[  5]  48.00-49.00  sec   245 KBytes  2.01 Mbits/sec  1.284 ms  0/209 (0%)  
[  5]  49.00-50.00  sec   246 KBytes  2.02 Mbits/sec  2.181 ms  0/210 (0%)  
[  5]  50.00-51.00  sec   244 KBytes  2.00 Mbits/sec  2.462 ms  0/208 (0%)  
[  5]  51.00-52.00  sec   234 KBytes  1.92 Mbits/sec  2.211 ms  0/200 (0%)  
[  5]  52.00-53.00  sec   254 KBytes  2.08 Mbits/sec  1.774 ms  0/217 (0%)  
[  5]  53.00-54.00  sec   240 KBytes  1.97 Mbits/sec  2.644 ms  0/205 (0%)  
[  5]  54.00-55.00  sec   248 KBytes  2.04 Mbits/sec  2.248 ms  0/212 (0%)  
[  5]  55.00-56.00  sec   248 KBytes  2.04 Mbits/sec  1.472 ms  0/212 (0%)  
[  5]  56.00-57.00  sec   234 KBytes  1.92 Mbits/sec  1.563 ms  0/200 (0%)  
[  5]  57.00-58.00  sec   255 KBytes  2.09 Mbits/sec  2.231 ms  0/218 (0%)  
[  5]  58.00-59.00  sec   241 KBytes  1.98 Mbits/sec  2.086 ms  0/206 (0%)  
[  5]  59.00-60.00  sec   244 KBytes  2.00 Mbits/sec  1.854 ms  0/208 (0%)  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  5]   0.00-60.63  sec  14.5 MBytes  2.00 Mbits/sec  0.000 ms  0/0 (0%)  sender
[  5]   0.00-60.00  sec  14.3 MBytes  2.00 Mbits/sec  1.854 ms  0/12513 (0%)  receiver

iperf Done.
