elapsed_s  wall_minus_mono_ms  sampling_span_ms
    1.001               0.049             0.105
    2.001            -928.614             0.011
    3.002            -928.616             0.007
    4.003            -928.616             0.007
    5.004            -928.616             0.010
    6.004            -928.616             0.006
    7.005            -928.615             0.009
    8.005            -928.616             0.007
    9.006            -928.616             0.009
   10.006            -928.615             0.010
   11.007            -928.616             0.006
   12.008            -928.615             0.007
   13.008            -928.616             0.007
   14.009            -928.616             0.007
   15.010            -928.615             0.010
   16.010            -928.615             0.008
   17.011            -928.615             0.008
   18.012            -928.616             0.008
   19.012            -928.617             0.006
   20.014            -928.616             0.007
   21.015            -928.616             0.006
   22.017            -928.616             0.006
   23.018            -928.616             0.007
   24.018            -928.615             0.007
   25.019            -928.615             0.010
   26.019            -928.616             0.006
   27.019            -928.616             0.005
   28.020            -928.614             0.013
   29.020            -928.616             0.009
   30.021            -928.616             0.006
